name,position,team,ecr_1qb,ecr_2qb,value_1qb,value_2qb,source_date
Brock Purdy,QB,SF,68.7,25,2090,5835,2026-08-14
Javonte Williams,RB,DAL,70.7,82,1994,1529,2026-08-14
Cam Skattebo,RB,NYG,71.1,82.4,1975,1514,2026-08-14
Bo Nix,QB,DEN,71.3,21.5,1966,6335,2026-08-14
Jadarian Price,RB,SEA,71.3,82.8,1966,1500,2026-08-14
Terry McLaurin,WR,WAS,73.7,84.4,1858,1445,2026-08-14
KC Concepcion,WR,CLE,74.3,84.9,1832,1428,2026-08-14
Michael Pittman Jr.,WR,PIT,74.6,112.5,1819,746,2026-08-14
Alec Pierce,WR,IND,75.5,86.7,1781,1369,2026-08-14
Kenyon Sadiq,TE,NYJ,77,87.9,1719,1331,2026-08-14
Jordan Addison,WR,MIN,81.1,92.9,1561,1183,2026-08-14
Derrick Henry,RB,BAL,81.5,94,1547,1153,2026-08-14
C.J. Stroud,QB,HOU,82.2,38.4,1521,4259,2026-08-14
Josh Jacobs,RB,GB,85.1,97.9,1421,1052,2026-08-14
Bhayshul Tuten,RB,JAC,85.2,98,1418,1050,2026-08-14
Dak Prescott,QB,DAL,85.7,31.4,1401,5020,2026-08-14
Parker Washington,WR,JAC,85.8,98.1,1398,1047,2026-08-14
D'Andre Swift,RB,CHI,89.2,102.9,1291,935,2026-08-14
Eli Stowers,TE,PHI,89.9,101,1270,978,2026-08-14
Michael Wilson,WR,ARI,91.6,105,1220,890,2026-08-14
Isaiah Likely,TE,NYG,92.6,105.2,1192,886,2026-08-14
Jordan Love,QB,GB,93.1,26.3,1178,5659,2026-08-14
Wan'Dale Robinson,WR,TEN,93.2,106.1,1175,868,2026-08-14
Oronde Gadsden II,TE,LAC,94.7,106.2,1134,866,2026-08-14
Jayden Higgins,WR,HOU,94.7,108.1,1134,828,2026-08-14
Jonathon Brooks,RB,CAR,96.4,141.3,1090,379,2026-08-14
Omar Cooper Jr.,WR,NYJ,96.5,108.3,1087,824,2026-08-14
Davante Adams,WR,LAR,96.5,109.1,1087,809,2026-08-14
Josh Downs,WR,IND,97,109.4,1075,803,2026-08-14
Denzel Boston,WR,CLE,97.9,110.1,1052,790,2026-08-14
David Montgomery,RB,HOU,99.6,112.7,1011,743,2026-08-14
Courtland Sutton,WR,DEN,99.7,113,1008,738,2026-08-14
Mike Evans,WR,SF,100.7,113.6,985,727,2026-08-14
Xavier Worthy,WR,KC,102.5,114,944,721,2026-08-14
RJ Harvey,RB,DEN,104.7,117,897,672,2026-08-14
Jared Goff,QB,DET,105,45.2,890,3630,2026-08-14
Quentin Johnston,WR,LAC,105.7,117.8,876,659,2026-08-14
Jayden Reed,WR,GB,106.1,118,868,656,2026-08-14
George Kittle,TE,SF,106.2,117.4,866,665,2026-08-14
Jake Ferguson,TE,DAL,106.4,117.5,862,664,2026-08-14
Jakobi Meyers,WR,JAC,107,119,849,641,2026-08-14
Brenton Strange,TE,JAC,110.8,121.9,777,599,2026-08-14
Matthew Golden,WR,GB,112.3,123.5,750,576,2026-08-14
Jaylen Warren,RB,PIT,112.5,124.1,746,568,2026-08-14
Chris Godwin Jr.,WR,TB,112.6,123.8,745,572,2026-08-14
Fernando Mendoza,QB,LV,112.6,53.3,745,3001,2026-08-14
Ricky Pearsall,WR,SF,113.1,124.4,736,564,2026-08-14
Baker Mayfield,QB,TB,113.7,55.7,726,2836,2026-08-14
Kyle Monangai,RB,CHI,117,128.5,672,513,2026-08-14
Cam Ward,QB,TEN,120.4,60.7,620,2522,2026-08-14
Blake Corum,RB,LAR,121.2,132.2,608,470,2026-08-14
Zach Charbonnet,RB,SEA,123,133.5,583,456,2026-08-14
Romeo Doubs,WR,NE,124.6,134.9,562,441,2026-08-14
Jalen Coker,WR,CAR,125,135,556,440,2026-08-14
Khalil Shakir,WR,BUF,125.7,135.7,547,433,2026-08-14
Tyler Shough,QB,NO,126.9,67.1,532,2170,2026-08-14
Travis Hunter,WR,JAC,127.2,136.4,528,426,2026-08-14
Antonio Williams,WR,WAS,129.7,138.6,498,404,2026-08-14
Kyler Murray,QB,MIN,130.2,51.2,492,3152,2026-08-14
Rhamondre Stevenson,RB,NE,130.5,140.7,489,385,2026-08-14
Brandon Aiyuk,WR,SF,132.3,138.2,469,408,2026-08-14
Chuba Hubbard,RB,CAR,132.7,143.1,464,364,2026-08-14
Mark Andrews,TE,BAL,135.7,144.6,433,351,2026-08-14
Rico Dowdle,RB,PIT,135.8,145.5,432,344,2026-08-14
Sam Darnold,QB,SEA,135.9,80.3,431,1591,2026-08-14
Chig Okonkwo,TE,WAS,136.5,145.5,425,344,2026-08-14
Dallas Goedert,TE,PHI,136.8,145.9,422,341,2026-08-14
Malik Willis,QB,MIA,138.2,83.4,408,1479,2026-08-14
Tre' Harris,WR,LAC,140.4,149.8,388,311,2026-08-14
Matthew Stafford,QB,LAR,140.9,88.6,383,1309,2026-08-14
Tank Dell,WR,HOU,141.1,211.2,381,73,2026-08-14
De'Zhaun Stribling,WR,SF,141.2,150.3,380,307,2026-08-14
Tyreek Hill,WR,FA,142.6,148.3,368,322,2026-08-14
Tony Pollard,RB,TEN,143.7,152.6,359,291,2026-08-14
