name,position,team,ecr_1qb,ecr_2qb,value_1qb,value_2qb,source_date
Kendrick Law,WR,DET,361.5,323.8,2,5,2026-08-14
Tyren Montgomery,WR,TEN,362.2,348,2,3,2026-08-14
Reggie Virgil,WR,ARI,362.2,343.8,2,3,2026-08-14
Tyler Huntley,QB,BAL,362.2,359.1,2,2,2026-08-14
Carson Wentz,QB,MIN,362.2,359.1,2,2,2026-08-14
Austin Hooper,TE,ATL,362.5,347.8,2,3,2026-08-14
Jake Browning,QB,TB,362.8,359.7,2,2,2026-08-14
Mason Rudolph,QB,PIT,363,359.9,2,2,2026-08-14
Will Kacmarek,TE,MIA,363.2,349.3,2,3,2026-08-14
Grant Calcaterra,TE,PHI,363.4,349.5,2,3,2026-08-14
Michael Carter,RB,TEN,363.5,348.3,2,3,2026-08-14
Jeremy McNichols,RB,WAS,363.7,348.5,2,3,2026-08-14
Colbie Young,WR,CIN,363.9,349.7,2,3,2026-08-14
Darren Waller,TE,CAR,363.9,348.8,2,3,2026-08-14
Phil Mafah,RB,DAL,363.9,348.7,2,3,2026-08-14
Thomas Fidone II,TE,NYG,364,350.1,2,3,2026-08-14
Eric Rivers Jr.,WR,TB,364.2,347.8,2,3,2026-08-14
Haynes King,QB,CAR,364.2,361.1,2,2,2026-08-14
Jarrett Stidham,QB,DEN,364.2,361.1,2,2,2026-08-14
Diego Pavia,QB,FA,364.2,361.1,2,2,2026-08-14
Damien Martinez,RB,GB,364.3,349.1,2,3,2026-08-14
Luke Schoonmaker,TE,DAL,364.5,350.6,2,3,2026-08-14
Olamide Zaccheaus,WR,ATL,364.7,350.5,2,3,2026-08-14
Jared Wiley,TE,KC,364.7,350.8,2,3,2026-08-14
Jawhar Jordan,RB,HOU,365.2,345.2,2,3,2026-08-14
Rasheen Ali,RB,BAL,365.2,350,2,3,2026-08-14
Sam Howell,QB,DAL,365.4,362.3,2,2,2026-08-14
Raheem Mostert,RB,LV,365.5,350.3,2,3,2026-08-14
Xavier Hutchinson,WR,HOU,365.9,351.7,2,3,2026-08-14
Josh Oliver,TE,MIN,366,352.1,2,3,2026-08-14
Josh Cuevas,TE,BAL,366.2,352.3,2,3,2026-08-14
John Michael Gyllenborg,TE,KC,366.2,352.3,2,3,2026-08-14
Nick Westbrook-Ikhine,WR,IND,366.4,352.2,2,3,2026-08-14
Brady Cook,QB,NYJ,366.4,363.3,2,2,2026-08-14
Brevin Jordan,TE,HOU,366.7,352.8,2,3,2026-08-14
Seydou Traore,TE,MIA,366.9,353,2,3,2026-08-14
Carsen Ryan,TE,CLE,367.3,353.4,2,3,2026-08-14
Dean Connors,RB,LAR,367.3,352.1,2,3,2026-08-14
Riley Nowakowski,TE,PIT,367.9,354,2,3,2026-08-14
Jaren Kanak,TE,TEN,368,354.1,2,3,2026-08-14
Antonio Gibson,RB,FA,368,352.8,2,3,2026-08-14
Tommy Tremble,TE,CAR,368.1,354.2,2,3,2026-08-14
CJ Donaldson,RB,NO,368.1,352.9,2,3,2026-08-14
Mitchell Trubisky,QB,TEN,368.2,365.1,2,2,2026-08-14
Noah Whittington,RB,HOU,368.3,353.1,2,3,2026-08-14
Jeremy Ruckert,TE,NYJ,368.4,354.5,2,3,2026-08-14
DeAndre Hopkins,WR,BAL,368.5,354.3,2,3,2026-08-14
Aaron Anderson,WR,FA,368.6,354.4,2,3,2026-08-14
Austin Ekeler,RB,FA,368.7,353.5,2,3,2026-08-14
Joshua Dobbs,QB,DET,369,365.9,2,2,2026-08-14
Jordan Watkins,WR,SF,369.3,355.1,2,2,2026-08-14
Daniel Bellinger,TE,TEN,369.3,355.4,2,2,2026-08-14
Ty Chandler,RB,NO,369.3,354.1,2,3,2026-08-14
Kaden Wetjen,WR,PIT,369.4,355.2,2,2,2026-08-14
Drew Lock,QB,SEA,369.6,366.5,2,2,2026-08-14
Andy Dalton,QB,PHI,370,366.9,2,2,2026-08-14
Tyrell Shavers,WR,BUF,370.3,356.1,2,2,2026-08-14
Chip Trayanum,RB,NYJ,370.3,355.1,2,2,2026-08-14
Cooper Rush,QB,ATL,370.7,367.6,2,2,2026-08-14
Eric McAlister,WR,FA,370.9,356.7,2,2,2026-08-14
Nick Mullens,QB,JAC,370.9,367.8,2,2,2026-08-14
Greg Dortch,WR,DET,371.1,356.9,2,2,2026-08-14
Lil'Jordan Humphrey,WR,DEN,371.1,356.9,2,2,2026-08-14
Kalif Raymond,WR,CHI,371.3,357.1,2,2,2026-08-14
Tyler Badie,RB,DEN,371.3,356.1,2,2,2026-08-14
Daylan Smothers,RB,FA,371.6,356.4,2,2,2026-08-14
Davis Allen,TE,LAR,371.7,357.8,2,2,2026-08-14
Miles Sanders,RB,FA,371.7,356.5,2,2,2026-08-14
Taysom Hill,TE,FA,371.7,357.8,2,2,2026-08-14
Adam Trautman,TE,DEN,372.1,358.2,2,2,2026-08-14
Luke Altmyer,QB,DET,372.2,369.1,2,2,2026-08-14
Kyle McCord,QB,GB,372.4,369.3,2,2,2026-08-14
Dane Key,WR,DEN,372.6,358.4,2,2,2026-08-14
Khalil Herbert,RB,SF,372.9,357.7,2,2,2026-08-14
Kylen Granson,TE,TEN,373,359.1,2,2,2026-08-14
Hunter Long,TE,JAC,373.1,359.2,2,2,2026-08-14
Romello Brinson,WR,FA,373.1,358.9,2,2,2026-08-14
Max Brosmer,QB,MIN,373.2,370.1,2,2,2026-08-14
Julian Hill,TE,NE,373.3,359.4,2,2,2026-08-14
Rahsul Faison,RB,FA,373.6,358.4,2,2,2026-08-14
Harrison Wallace III,WR,ARI,373.8,359.6,2,2,2026-08-14
Efton Chism III,WR,NE,374.3,360.1,2,2,2026-08-14
Kalel Mullings,RB,TEN,374.5,359.3,2,2,2026-08-14
Jackson Hawes,TE,BUF,375,361.1,2,2,2026-08-14
Roman Wilson,WR,PIT,375.1,360.9,2,2,2026-08-14
Mark Fletcher,RB,FA,375.1,359.9,2,2,2026-08-14
Behren Morton,QB,NE,375.2,372.1,2,2,2026-08-14
Jahdae Walker,WR,CHI,375.3,361.1,2,2,2026-08-14
Tanner Hudson,TE,CIN,375.3,361.4,2,2,2026-08-14
Chase Roberts,WR,LV,375.5,361.3,2,2,2026-08-14
Kyle Allen,QB,BUF,375.5,372.4,2,2,2026-08-14
RJ Maryland,TE,GB,375.9,362,2,2,2026-08-14
Kurtis Rourke,QB,SF,376,372.9,2,2,2026-08-14
Alexander Mattison,RB,FA,376.1,360.9,2,2,2026-08-14
Zamir White,RB,SF,376.3,361.1,2,2,2026-08-14
Demarcus Robinson,WR,SF,376.7,362.5,2,2,2026-08-14
Stetson Bennett IV,QB,LAR,376.7,373.6,2,2,2026-08-14
Elijah Mitchell,RB,FA,376.7,361.5,2,2,2026-08-14
Dylan Laube,RB,LV,376.9,361.7,1,2,2026-08-14
Tyler Goodson,RB,ATL,376.9,361.7,1,2,2026-08-14
Jimmy Horn Jr.,WR,CAR,377,362.8,1,2,2026-08-14
Jaheim Bell,TE,PIT,377.2,363.3,1,2,2026-08-14
Darius Cooper,WR,PHI,377.3,363.1,1,2,2026-08-14
Foster Moreau,TE,HOU,377.7,363.8,1,2,2026-08-14
Brandin Cooks,WR,FA,377.9,363.7,1,2,2026-08-14
Cam Akers,RB,FA,378.1,362.9,1,2,2026-08-14
AJ Dillon,RB,CAR,378.5,363.3,1,2,2026-08-14
Jake Briningstool,TE,KC,378.5,364.6,1,2,2026-08-14
Will Dissly,TE,FA,378.7,364.8,1,2,2026-08-14
Jelani Woods,TE,NYJ,379,365.1,1,2,2026-08-14
Luke Lachey,TE,FA,379,365.1,1,2,2026-08-14
Brock Wright,TE,DET,379.5,365.6,1,2,2026-08-14
Stone Smartt,TE,PHI,379.7,365.8,1,2,2026-08-14
Jalin Conyers,TE,FA,379.8,365.9,1,2,2026-08-14
Hendon Hooker,QB,TEN,379.9,376.8,1,1,2026-08-14
Sam Ehlinger,QB,DEN,379.9,376.8,1,1,2026-08-14
Tyler Lockett,WR,LV,380.1,365.9,1,2,2026-08-14
Teddy Bridgewater,QB,FA,380.2,377.1,1,1,2026-08-14
Harrison Bryant,TE,FA,380.8,366.9,1,2,2026-08-14
Elijah Moore,WR,PHI,381.5,367.3,1,2,2026-08-14
Philip Rivers,QB,FA,381.7,378.6,1,1,2026-08-14
Kenny McIntosh,RB,FA,382.1,366.9,1,2,2026-08-14
Patrick Taylor Jr.,RB,SF,382.1,366.9,1,2,2026-08-14
Dorian Thompson-Robinson,QB,FA,382.2,379.1,1,1,2026-08-14
Brandon Allen,QB,NYG,382.2,379.1,1,1,2026-08-14
Jake Bobo,WR,SEA,382.5,368.3,1,2,2026-08-14
Bailey Zappe,QB,NYJ,383,379.9,1,1,2026-08-14
Tommy DeVito,QB,NE,383.5,380.4,1,1,2026-08-14
Quintin Morris,TE,JAC,383.5,369.6,1,2,2026-08-14
Gavin Bartholomew,TE,MIN,383.5,369.6,1,2,2026-08-14
Xavier Restrepo,WR,TEN,383.7,369.5,1,2,2026-08-14
Hassan Haskins,RB,NE,384.4,369.2,1,2,2026-08-14
Luke Farrell,TE,SF,384.5,370.6,1,2,2026-08-14
Desmond Ridder,QB,FA,384.7,381.6,1,1,2026-08-14
Josh Johnson,QB,CIN,385.9,382.8,1,1,2026-08-14
Donovan Edwards,RB,MIA,386.1,370.9,1,2,2026-08-14
Zavier Scott,RB,MIN,386.1,370.9,1,2,2026-08-14
Josh Whyle,TE,GB,386.2,372.3,1,2,2026-08-14
Ashton Dulin,WR,IND,387.1,372.9,1,2,2026-08-14
Theo Wease Jr.,WR,MIA,387.6,373.4,1,2,2026-08-14
Malachi Corley,WR,CLE,388.1,373.9,1,2,2026-08-14
Noah Thomas,WR,CIN,388.6,374.4,1,2,2026-08-14
Zack Moss,RB,FA,388.8,373.6,1,2,2026-08-14
Will Mallory,TE,IND,389,375.1,1,2,2026-08-14
Trey Palmer,WR,NO,389.1,374.9,1,2,2026-08-14
Case Keenum,QB,CHI,389.5,386.4,1,1,2026-08-14
Ameer Abdullah,RB,JAC,389.8,374.6,1,2,2026-08-14
Devin Culp,TE,TB,389.8,375.9,1,2,2026-08-14
Sincere McCormick,RB,SF,390.1,374.9,1,2,2026-08-14
Mo Alie-Cox,TE,IND,390.8,376.9,1,1,2026-08-14
Tip Reiman,TE,ARI,390.8,376.9,1,1,2026-08-14
Curtis Samuel,WR,FA,390.9,376.7,1,2,2026-08-14
Gabe Davis,WR,FA,391.1,376.9,1,1,2026-08-14
Evan Hull,RB,ARI,391.1,375.9,1,2,2026-08-14
Trebor Pena,WR,JAC,391.6,377.4,1,1,2026-08-14
Eric Gray,RB,NYG,391.8,376.6,1,2,2026-08-14
Gus Edwards,RB,FA,392.1,376.9,1,1,2026-08-14
Mitch Tinsley,WR,CIN,392.3,378.1,1,1,2026-08-14
Marquez Valdes-Scantling,WR,DAL,392.3,378.1,1,1,2026-08-14
Jalin Hyatt,WR,NYG,392.5,378.3,1,1,2026-08-14
Arian Smith,WR,NYJ,392.5,378.3,1,1,2026-08-14
Dare Ogunbowale,RB,LV,393.1,377.9,1,1,2026-08-14
Drew Ogletree,TE,IND,393.2,379.3,1,1,2026-08-14
JuJu Smith-Schuster,WR,NYG,393.3,379.1,1,1,2026-08-14
Bo Melton,WR,GB,393.7,379.5,1,1,2026-08-14
Javon Baker,WR,FA,393.9,379.7,1,1,2026-08-14
Payne Durham,TE,TB,394.8,380.9,1,1,2026-08-14
Jacob Cowing,WR,SF,395.3,381.1,1,1,2026-08-14
Sterling Shepard,WR,FA,395.7,381.5,1,1,2026-08-14
John Bates,TE,WAS,396,382.1,1,1,2026-08-14
Gerald Everett,TE,FA,396.5,382.6,1,1,2026-08-14
Jaret Patterson,RB,LAC,396.8,381.6,1,1,2026-08-14
Diontae Johnson,WR,FA,396.9,382.7,1,1,2026-08-14
Lucas Krull,TE,DEN,397,383.1,1,1,2026-08-14
Vinny Anthony II,WR,ATL,397.1,382.9,1,1,2026-08-14
Sean Clifford,QB,CIN,397.2,394.1,1,1,2026-08-14
Nick Nash,WR,WAS,397.3,383.1,1,1,2026-08-14
Van Jefferson,WR,WAS,397.5,383.3,1,1,2026-08-14
Moliki Matavao,TE,NO,397.5,383.6,1,1,2026-08-14
Irv Smith Jr.,TE,FA,398,384.1,1,1,2026-08-14
Pierre Strong Jr.,RB,GB,398.6,383.4,1,1,2026-08-14
Noah Brown,WR,FA,398.9,384.7,1,1,2026-08-14
Carson Steele,RB,PHI,399.1,383.9,1,1,2026-08-14
Brevyn Spann-Ford,TE,DAL,399.2,385.3,1,1,2026-08-14
Durham Smythe,TE,BAL,399.8,385.9,1,1,2026-08-14
Isaiah Hodgins,WR,NYG,400.1,385.9,1,1,2026-08-14
Craig Reynolds,RB,FA,400.4,385.2,1,1,2026-08-14
Johnny Mundt,TE,PHI,400.5,386.6,1,1,2026-08-14
Cody Schrader,RB,DEN,400.8,385.6,1,1,2026-08-14
Allen Lazard,WR,FA,400.9,386.7,1,1,2026-08-14
Jermaine Burton,WR,FA,401.1,386.9,1,1,2026-08-14
Trey Sermon,RB,ATL,401.1,385.9,1,1,2026-08-14
Jonathan Mingo,WR,DAL,401.3,387.1,1,1,2026-08-14
Marcus Yarns,RB,FA,401.4,386.2,1,1,2026-08-14
Israel Abanikanda,RB,DAL,402.4,387.2,1,1,2026-08-14
Ricky White III,WR,SEA,402.4,388.2,1,1,2026-08-14
Isaiah Williams,WR,FA,402.6,388.4,1,1,2026-08-14
Frank Gore Jr.,RB,BUF,403.1,387.9,1,1,2026-08-14
Clyde Edwards-Helaire,RB,FA,403.3,388.1,1,1,2026-08-14
Jamari Thrash,WR,CLE,403.9,389.7,1,1,2026-08-14
Drew Sample,TE,CIN,404,390.1,1,1,2026-08-14
Deuce Vaughn,RB,FA,405.4,390.2,1,1,2026-08-14
Xavier Smith,WR,LAR,405.6,391.4,1,1,2026-08-14
Ronnie Rivers,RB,LAR,406.1,390.9,1,1,2026-08-14
Donald Parham Jr.,TE,FA,406.2,392.3,1,1,2026-08-14
Josh Reynolds,WR,FA,406.9,392.7,1,1,2026-08-14
Eric Saubert,TE,SEA,407.5,393.6,1,1,2026-08-14
Jared Wayne,WR,HOU,408.6,394.4,1,1,2026-08-14
Kevin Austin Jr.,WR,NO,408.6,394.4,1,1,2026-08-14
DeeJay Dallas,RB,JAC,408.8,393.6,1,1,2026-08-14
Jack Stoll,TE,CLE,409,395.1,1,1,2026-08-14
Damien Alford,WR,FA,409.1,394.9,1,1,2026-08-14
Dohnte Meyers,WR,CIN,409.1,394.9,1,1,2026-08-14
Charlie Jones,WR,CIN,409.3,395.1,1,1,2026-08-14
Keaontay Ingram,RB,FA,410.1,394.9,1,1,2026-08-14
Julius Chestnut,RB,TEN,410.4,395.2,1,1,2026-08-14
Tim Patrick,WR,NYJ,410.8,396.6,1,1,2026-08-14
D'Onta Foreman,RB,FA,412.1,396.9,1,1,2026-08-14
James Mitchell,TE,CAR,413,399.1,1,1,2026-08-14
Keilan Robinson,RB,FA,413.1,397.9,1,1,2026-08-14
Blake Watson,RB,FA,413.1,397.9,1,1,2026-08-14
Tyler Scott,WR,LAR,413.1,398.9,1,1,2026-08-14
Connor Heyward,TE,LV,414,400.1,1,1,2026-08-14
Kendall Milton,RB,CIN,414.6,399.4,1,1,2026-08-14
Deneric Prince,RB,FA,414.8,399.6,1,1,2026-08-14
Johnny Wilson,WR,PHI,415.1,400.9,1,1,2026-08-14
Isaiah Williams,WR,NYJ,415.4,401.2,1,1,2026-08-14
Shane Zylstra,TE,BUF,415.5,401.6,1,1,2026-08-14
Cordarrelle Patterson,RB,FA,415.8,400.6,1,1,2026-08-14
D'Ernest Johnson,RB,FA,416.1,400.9,1,1,2026-08-14
Bub Means,WR,NO,416.1,401.9,1,1,2026-08-14
Ian Thomas,TE,LV,416.5,402.6,1,1,2026-08-14
Tylan Wallace,WR,CLE,417.1,402.9,1,1,2026-08-14
Jeff Wilson Jr.,RB,FA,417.4,402.2,1,1,2026-08-14
Skyy Moore,WR,GB,417.4,403.2,1,1,2026-08-14
Zay Jones,WR,FA,417.4,403.2,1,1,2026-08-14
Teagan Quitoriano,TE,ARI,417.5,403.6,1,1,2026-08-14
Joshua Kelley,RB,FA,417.6,402.4,1,1,2026-08-14
David Moore,WR,CAR,417.6,403.4,1,1,2026-08-14
Dillon Johnson,RB,FA,419.1,403.9,1,1,2026-08-14
Tahj Washington,WR,MIA,419.3,405.1,1,1,2026-08-14
Dalvin Cook,RB,FA,419.6,404.4,1,1,2026-08-14
Ainias Smith,WR,FA,419.8,405.6,1,1,2026-08-14
Casey Washington,WR,CAR,420.1,405.9,1,1,2026-08-14
Daijun Edwards,RB,FA,420.6,405.4,1,1,2026-08-14
Salvon Ahmed,RB,CHI,421.1,405.9,1,1,2026-08-14
Justin Watson,WR,HOU,422.1,407.9,1,1,2026-08-14
Ray-Ray McCloud III,WR,CHI,422.4,408.2,1,1,2026-08-14
Henry Ruggs III,WR,FA,422.6,408.4,1,1,2026-08-14
Tyler Johnson,WR,DAL,422.6,408.4,1,1,2026-08-14
Chase Edmonds,RB,WAS,423.1,407.9,1,1,2026-08-14
Dominic Lovett,WR,DET,423.1,408.9,1,1,2026-08-14
Darrynton Evans,RB,FA,424.4,409.2,0,1,2026-08-14
Devin Duvernay,WR,ARI,424.4,410.2,0,1,2026-08-14
Kene Nwangwu,RB,NYJ,425.6,410.4,0,1,2026-08-14
K.J. Osborn,WR,TEN,425.8,411.6,0,1,2026-08-14
Jerick McKinnon,RB,FA,426.1,410.9,0,1,2026-08-14
Cedrick Wilson Jr.,WR,DET,426.1,411.9,0,1,2026-08-14
Chris Evans,RB,FA,427.6,412.4,0,1,2026-08-14
JaMycal Hasty,RB,NE,428.4,413.2,0,1,2026-08-14
Jase McClellan,RB,FA,428.6,413.4,0,1,2026-08-14
Trayveon Williams,RB,FA,429.4,414.2,0,1,2026-08-14
Derius Davis,WR,LAC,429.6,415.4,0,1,2026-08-14
Travis Homer,RB,PIT,430.1,414.9,0,1,2026-08-14
Kevin Harris,RB,FA,430.1,414.9,0,1,2026-08-14
Kameron Johnson,WR,TB,431.6,417.4,0,1,2026-08-14
Tyrion Davis-Price,RB,FA,432.1,416.9,0,1,2026-08-14
A.T. Perry,WR,FA,432.1,417.9,0,1,2026-08-14
Hunter Renfrow,WR,FA,432.8,418.6,0,1,2026-08-14
DeWayne McBride,RB,FA,433.1,417.9,0,1,2026-08-14
Ben Skowronek,WR,PIT,433.1,418.9,0,1,2026-08-14
Scotty Miller,WR,CHI,433.6,419.4,0,1,2026-08-14
Quez Watkins,WR,PHI,434.8,420.6,0,1,2026-08-14
Brenden Rice,WR,FA,435.6,421.4,0,1,2026-08-14
Mecole Hardman Jr.,WR,BUF,435.8,421.6,0,1,2026-08-14
Nyheim Miller-Hines,RB,FA,436.6,421.4,0,1,2026-08-14
Matt Breida,RB,FA,436.6,421.4,0,1,2026-08-14
Braxton Berrios,WR,NYG,437.6,423.4,0,1,2026-08-14
Royce Freeman,RB,FA,438.1,422.9,0,1,2026-08-14
Michael Wiley,RB,FA,438.6,423.4,0,1,2026-08-14
Gary Brightwell,RB,CIN,439.1,423.9,0,0,2026-08-14
Emani Bailey,RB,FA,440.1,424.9,0,0,2026-08-14
Velus Jones Jr.,WR,SEA,441.1,426.9,0,0,2026-08-14
Odell Beckham Jr.,WR,NYG,443.1,428.9,0,0,2026-08-14
Xavier Gipson,WR,NYG,444.6,430.4,0,0,2026-08-14
Terrace Marshall Jr.,WR,MIA,446.1,431.9,0,0,2026-08-14
Jason Brownlee,WR,KC,447.6,433.4,0,0,2026-08-14
Lew Nichols III,RB,PIT,448.1,432.9,0,0,2026-08-14
Jashaun Corbin,RB,DAL,450.1,434.9,0,0,2026-08-14
Trenton Irwin,WR,SF,451.1,436.9,0,0,2026-08-14
Nelson Agholor,WR,FA,452.6,438.4,0,0,2026-08-14
Tejhaun Palmer,WR,NE,453.1,438.9,0,0,2026-08-14
Danny Gray,WR,PHI,454.6,440.4,0,0,2026-08-14
Jalen Reagor,WR,MIA,455.6,441.4,0,0,2026-08-14
Donovan Peoples-Jones,WR,FA,457.1,442.9,0,0,2026-08-14
Kyle Philips,WR,FA,458.1,443.9,0,0,2026-08-14
Zach Pascal,WR,FA,459.6,445.4,0,0,2026-08-14
Justyn Ross,WR,FA,460.6,446.4,0,0,2026-08-14
Michael Thomas,WR,FA,462.1,447.9,0,0,2026-08-14
Chase Claypool,WR,FA,463.1,448.9,0,0,2026-08-14
