name,team,position,rank,projection,proj_3yr,trade_value,source_date
K Black,SF,RB,235.0,53.0,262.0,1.0,2026-08-18
J Nailor,LV,WR,236.0,136.0,378.0,1.0,2026-08-18
J James,SF,RB,237.0,47.0,229.0,1.0,2026-08-18
D Claiborne,MIN,RB,238.0,46.0,218.0,1.0,2026-08-18
K Coleman,BUF,WR,239.0,96.0,360.0,1.0,2026-08-18
M Mims Jr.,DEN,WR,240.0,95.0,364.0,1.0,2026-08-18
E Wilson,SEA,RB,241.0,54.0,233.0,1.0,2026-08-18
K Vidal,LAC,RB,242.0,66.0,248.0,0.0,2026-08-18
D Neal,NO,RB,243.0,38.0,228.0,0.0,2026-08-18
G Dulcich,MIA,TE,244.0,110.0,287.0,0.0,2026-08-18
B Aiyuk,FA,WR,245.0,105.0,378.0,0.0,2026-08-18
E Raridon,NE,TE,,,,,2026-08-18
O Delp,NO,TE,,,,,2026-08-18
D Douglas,NE,WR,,,,,2026-08-18
M Klare,LAR,TE,,,,,2026-08-18
M Taylor,NYJ,TE,,,,,2026-08-18
