name,team,position,rank,projection,proj_3yr,trade_value,source_date
J Royals,KC,WR,232.0,34.0,225.0,1.0,2026-08-18
D Douglas,NE,WR,233.0,57.0,226.0,0.0,2026-08-18
T Koziol,JAX,TE,234.0,21.0,144.0,0.0,2026-08-18
C Kolar,LAC,TE,235.0,54.0,138.0,0.0,2026-08-18
N Boerkircher,JAX,TE,236.0,27.0,152.0,0.0,2026-08-18
K Coleman Jr.,MIA,WR,237.0,20.0,226.0,0.0,2026-08-18
I Pacheco,DET,RB,238.0,99.0,187.0,0.0,2026-08-18
R Bateman,BAL,WR,239.0,79.0,229.0,0.0,2026-08-18
C Dike,TEN,WR,240.0,35.0,225.0,0.0,2026-08-18
D Waller,CAR,TE,241.0,63.0,149.0,0.0,2026-08-18
E Johnson,KC,RB,242.0,60.0,211.0,0.0,2026-08-18
J Wright,MIA,RB,243.0,48.0,200.0,0.0,2026-08-18
K Mitchell,LAC,RB,244.0,83.0,210.0,0.0,2026-08-18
S Roush,CHI,TE,245.0,23.0,139.0,0.0,2026-08-18
T Benson,ARI,RB,,,,,2026-08-18
J Lane,WAS,WR,,,,,2026-08-18
M Taylor,NYJ,TE,,,,,2026-08-18
S Bell,BUF,WR,,,,,2026-08-18
R Virgil,ARI,WR,,,,,2026-08-18
